2019冠狀病毒病 2019冠状病毒病
閣樓 阁楼
閣議 阁议
閤 合
閤 𬮤
閤 𬮤
閥 阀
閥芯 阀芯
閥門 阀门
閦 閦
閧 哄
閨 闺
閨女 闺女
閨情 闺情
閨房 闺房
閨秀 闺秀
閨窗 闺窗
閨範 闺范
閨蜜 闺蜜
閨門旦 闺门旦
閨閣 闺阁
閨閫 闺阃
閩 闽
閩侯 闽侯
閩侯縣 闽侯县
閩南 闽南
閩南話 闽南话
閩南語 闽南语
閩江 闽江
閩清 闽清
閩清縣 闽清县
閩粵 闽粤
閩菜 闽菜
閩語 闽语
閫 阃
閫奧 阃奥
閫寄 阃寄
閫範 阃范
閬 阆
閬 阆
閬中 阆中
閬中市 阆中市
閬苑 阆苑
閬風 阆风
閬風巔 阆风巅
閬鳳山 阆凤山
閭 闾
閭尾 闾尾
閱 阅
閱世 阅世
閱兵 阅兵
閱兵式 阅兵式
閱卷 阅卷
閱女無數 阅女无数
閱微草堂筆記 阅微草堂笔记
閱歷 阅历
閱男無數 阅男无数
閱聽人 阅听人
閱覽 阅览
閱覽室 阅览室
閱讀 阅读
閱讀器 阅读器
閱讀廣度 阅读广度
閱讀時間 阅读时间
閱讀理解 阅读理解
閱讀裝置 阅读装置
閱讀障礙 阅读障碍
閲 閲
閳 閳
閶 阊
閹 阉
閹人 阉人
閹割 阉割
閹然 阉然
閹豎 阉竖
閺 閺
閻 阎
閻君 阎君
閻王 阎王
閻王好見，小鬼難當 阎王好见，小鬼难当
閻王爺 阎王爷
閻羅 阎罗
閻羅王 阎罗王
閻老 阎老
閻良 阎良
閻良區 阎良区
閻錫山 阎锡山
閻魔 阎魔
閼 阏
閼 阏
閼氏 阏氏
閽 阍
閾 阈
閾值 阈值
閾限 阈限
閿 阌
闁 闁
闃 阒
闃寂 阒寂
闃然 阒然
闆 板
闆 板
闇 暗
闈 闱
闉 𬮱
闉 𬮱
闊 阔
闊人 阔人
闊佬 阔佬
闊別 阔别
闊嘴鷸 阔嘴鹬
闊度 阔度
闊步 阔步
闊氣 阔气
闊綽 阔绰
闊老 阔老
闊葉 阔叶
闊躡 阔蹑
闋 阕
闌 阑
闌入 阑入
闌出 阑出
闌尾 阑尾
闌尾切除術 阑尾切除术
闌尾炎 阑尾炎
闌干 阑干
闌檻 阑槛
闌檻 阑槛
闌殫 阑殚
闌珊 阑珊
闌遺 阑遗
闌頭 阑头
闌風 阑风
闍 阇
闍 阇
闍梨 阇梨
闍黎 阇黎
闐 阗
闑 𫔶
闒 阘
闓 闿
闔 阖
闔家 阖家
闔廬 阖庐
闔第光臨 阖第光临
闔閭 阖闾
闔閭城 阖闾城
闔閭城遺址 阖闾城遗址
闕 阙
闕 阙
闕 阙
闕特勤 阙特勤
闖 闯
闖入 闯入
闖出名堂 闯出名堂
闖王 闯王
闖王陵 闯王陵
闖禍 闯祸
闖空門 闯空门
闖紅燈 闯红灯
闖蕩 闯荡
闖蕩江湖 闯荡江湖
闖進 闯进
闖過 闯过
闖關 闯关
闖關者 闯关者
闗 闗
闘 闘
闚 窥
關 关
關 关
關上 关上
關中 关中
關中地區 关中地区
關中平原 关中平原
關之琳 关之琳
關乎 关乎
關云長 关云长
關你屁事 关你屁事
關係 关系
關係代名詞 关系代名词
關係到 关系到
關係式 关系式
關係戶 关系户
關係網 关系网
關停 关停
關公 关公
關公面前耍大刀 关公面前耍大刀
關切 关切
關卡 关卡
關口 关口
關嚴 关严
關城 关城
關塔納摩 关塔纳摩
關塔那摩 关塔那摩
關塔那摩灣 关塔那摩湾
關塞 关塞
關境 关境
關外 关外
關子 关子
關山 关山
關山 关山
關山鎮 关山镇
關島 关岛
關島大學 关岛大学
關嶺布依族苗族自治縣 关岭布依族苗族自治县
關嶺縣 关岭县
關店歇業 关店歇业
關廟 关庙
關廠 关厂
關張 关张
關征 关征
關心 关心
關愛 关爱
關懷 关怀
關懷備至 关怀备至
關押 关押
關掉 关掉
關文 关文
關斷 关断
關於 关于
關東 关东
關東地震 关东地震
關東煮 关东煮
關東軍 关东军
關格 关格
關棧 关栈
關棧費 关栈费
關機 关机
關注 关注
關涉 关涉
關漢卿 关汉卿
關照 关照
關白 关白
關禁閉 关禁闭
關稅 关税
關稅同盟 关税同盟
關稅國境 关税国境
關稅壁壘 关税壁垒
關稅與貿易總協定 关税与贸易总协定
關穎珊 关颖珊
關節 关节
關節囊 关节囊
關節炎 关节炎
關節腔 关节腔
關節面 关节面
關系 关系
關緊 关紧
關羽 关羽
關聯 关联
關聯公司 关联公司
關聯詞 关联词
關西 关西
關西鎮 关西镇
關說 关说
關貿總協定 关贸总协定
關連 关连
關金 关金
關金圓 关金圆
關鍵 关键
關鍵字 关键字
關鍵績效指標 关键绩效指标
關鍵詞 关键词
關門 关门
關門大吉 关门大吉
關門弟子 关门弟子
關門打狗 关门打狗
關門捉賊 关门捉贼
關閉 关闭
關關難過，關關過 关关难过，关关过
關防 关防
關隘 关隘
關頭 关头
關餉 关饷
闞 阚
闞 阚
闟 闟
闠 阓
闡 阐
闡揚 阐扬
闡明 阐明
闡發 阐发
闡示 阐示
闡述 阐述
闡釋 阐释
闢 辟
闢室 辟室
闢室密談 辟室密谈
闢建 辟建
闢謠 辟谣
闤 阛
闥 闼
阜 阜
阜南 阜南
阜南縣 阜南县
阜城 阜城
阜城縣 阜城县
阜寧 阜宁
阜寧縣 阜宁县
阜平 阜平
阜平縣 阜平县
阜康 阜康
阜康市 阜康市
阜成門 阜成门
阜新 阜新
阜新市 阜新市
阜新蒙古族自治縣 阜新蒙古族自治县
阜陽 阜阳
阜陽地區 阜阳地区
阜陽市 阜阳市
阞 阞
阡 阡
阢隉 阢陧
阤 阤
阨 阨
阪 阪
阬 坑
阮 阮
阮 阮
阮元 阮元
阮咸 阮咸
阮安 阮安
阮崇武 阮崇武
阮晉勇 阮晋勇
阮琴 阮琴
阯 址
阰 阰
阱 阱
防 防
防不勝防 防不胜防
防備 防备
防凍 防冻
防凍劑 防冻剂
防制 防制
防務 防务
防化救援 防化救援
防喘振 防喘振
防噴罩 防喷罩
防城 防城
防城區 防城区
防城各族自治縣 防城各族自治县
防城港 防城港
防城港市 防城港市
防城縣 防城县
防堵 防堵
防夾 防夹
防守 防守
防守者 防守者
防寒服 防寒服
防弊 防弊
防彈 防弹
防彈衣 防弹衣
防微杜漸 防微杜渐
防患 防患
防患於未然 防患于未然
防患未然 防患未然
防患未萌 防患未萌
防控 防控
防損 防损
防暑降溫 防暑降温
防暴 防暴
防暴盾 防暴盾
防暴警察 防暴警察
防曬 防晒
防曬油 防晒油
防曬霜 防晒霜
防杜 防杜
防核 防核
防止 防止
防毒 防毒
防毒圍裙 防毒围裙
防毒手套 防毒手套
防毒斗篷 防毒斗篷
防毒軟件 防毒软件
防毒通道 防毒通道
防毒面具 防毒面具
防毒面罩 防毒面罩
防毒靴套 防毒靴套
防水 防水
防汛 防汛
防油濺網 防油溅网
防治 防治
防波堤 防波堤
防洪 防洪
防滑 防滑
防滑鏈 防滑链
防潮 防潮
防潮堤 防潮堤
防潮墊 防潮垫
防火 防火
防火梯 防火梯
防火牆 防火墙
防火道 防火道
防火長城 防火长城
防災 防灾
防焊油墨 防焊油墨
防特 防特
防狼噴霧 防狼喷雾
防疫 防疫
防盜 防盗
防盜門 防盗门
防禦 防御
防禦工事 防御工事
防禦性 防御性
防禦率 防御率
防禦術 防御术
防空 防空
防空洞 防空洞
防範 防范
防線 防线
防腐 防腐
防腐劑 防腐剂
防艾 防艾
防蚊液 防蚊液
防血凝 防血凝
防衛 防卫
防衛大臣 防卫大臣
防衛武器 防卫武器
防衛過當 防卫过当
防護 防护
防護服 防护服
防護眼鏡 防护眼镜
防身 防身
防避 防避
防銹 防锈
防長 防长
防門 防门
防閑 防闲
防震 防震
防霉 防霉
防風 防风
防風固沙 防风固沙
防駭 防骇
防齲 防龋
阹 阹
阻 阻
阻值 阻值
阻力 阻力
阻塞 阻塞
阻尼 阻尼
阻差辦公 阻差办公
阻截 阻截
阻抑 阻抑
阻抗 阻抗
阻抗匹配 阻抗匹配
阻抗變換器 阻抗变换器
阻援 阻援
阻撓 阻挠
阻擊 阻击
阻擋 阻挡
阻擾 阻扰
阻攔 阻拦
阻攻 阻攻
阻斷 阻断
阻橈 阻桡
阻止 阻止
阻滯 阻滞
阻燃 阻燃
阻留 阻留
阻礙 阻碍
阻絕 阻绝
阻遏 阻遏
阻隔 阻隔
阻難 阻难
阻雨 阻雨
阼 阼
阽 阽
阿 阿
阿 阿
阿 阿
阿Q 阿Q
阿Q正傳 阿Q正传
阿三 阿三
阿不來提·阿不都熱西提 阿不来提·阿不都热西提
阿丹 阿丹
阿亞圖拉 阿亚图拉
阿亨 阿亨
阿亨工業大學 阿亨工业大学
阿亨科技大學 阿亨科技大学
阿什哈巴德 阿什哈巴德
阿什哈巴特 阿什哈巴特
阿什拉維 阿什拉维
阿仙藥 阿仙药
阿伊努 阿伊努
阿伊莎 阿伊莎
阿伏伽德羅 阿伏伽德罗
阿伏伽德羅常數 阿伏伽德罗常数
阿伯丁 阿伯丁
阿佛洛狄忒 阿佛洛狄忒
阿佤 阿佤
阿來 阿来
阿依莎 阿依莎
阿修羅 阿修罗
阿們 阿们
阿倫 阿伦
阿倫達爾 阿伦达尔
阿兄 阿兄
阿克倫 阿克伦
阿克倫河 阿克伦河
阿克塞哈薩克族自治縣 阿克塞哈萨克族自治县
阿克塞縣 阿克塞县
阿克拉 阿克拉
阿克蘇 阿克苏
阿克蘇地區 阿克苏地区
阿克蘇市 阿克苏市
阿克蘇河 阿克苏河
阿克賽欽 阿克赛钦
阿克陶 阿克陶
阿克陶縣 阿克陶县
阿公 阿公
阿兵哥 阿兵哥
阿其所好 阿其所好
阿凡提 阿凡提
阿凡達 阿凡达
阿列克西斯 阿列克西斯
阿列夫 阿列夫
阿初佛 阿初佛
阿利坎特 阿利坎特
阿利藤 阿利藤
阿加維 阿加维
阿加莎·克里斯蒂 阿加莎·克里斯蒂
阿加迪爾 阿加迪尔
阿勒泰 阿勒泰
阿勒泰地區 阿勒泰地区
阿勒泰市 阿勒泰市
阿卜杜拉 阿卜杜拉
阿卡 阿卡
阿卡提 阿卡提
阿卡普爾科 阿卡普尔科
阿卡貝拉 阿卡贝拉
阿卡迪亞 阿卡迪亚
阿卡迪亞大學 阿卡迪亚大学
阿史那骨咄祿 阿史那骨咄禄
阿司匹林 阿司匹林
阿合奇 阿合奇
阿合奇縣 阿合奇县
阿哥 阿哥
阿喀琉斯 阿喀琉斯
阿嚏 阿嚏
阿囡 阿囡
阿圖什 阿图什
阿圖什市 阿图什市
阿圖什縣 阿图什县
阿土 阿土
阿城 阿城
阿城區 阿城区
阿基米德 阿基米德
阿堵 阿堵
阿堵物 阿堵物
阿塞拜疆 阿塞拜疆
阿塞拜疆人 阿塞拜疆人
阿壩 阿坝
阿壩州 阿坝州
阿壩縣 阿坝县
阿壩藏族羌族自治州 阿坝藏族羌族自治州
阿多尼斯 阿多尼斯
阿多諾 阿多诺
阿奇里斯 阿奇里斯
阿奇霉素 阿奇霉素
阿奎納 阿奎纳
阿奶 阿奶
阿妹 阿妹
阿姆哈拉 阿姆哈拉
阿姆斯特丹 阿姆斯特丹
阿姆斯特朗 阿姆斯特朗
阿姆河 阿姆河
阿姨 阿姨
阿婆 阿婆
阿媽 阿妈
阿嬤 阿嬷
阿家 阿家
阿富汗 阿富汗
阿富汗語 阿富汗语
阿尼林 阿尼林
阿巴 阿巴
阿巴嘎旗 阿巴嘎旗
阿巴拉契亞 阿巴拉契亚
阿巴斯 阿巴斯
阿布叔醇 阿布叔醇
阿布哈茲 阿布哈兹
阿布扎比 阿布扎比
阿布沙耶夫 阿布沙耶夫
阿布賈 阿布贾
阿布達比 阿布达比
阿希姆 阿希姆
阿弗洛狄忒 阿弗洛狄忒
阿弟 阿弟
阿彌陀佛 阿弥陀佛
阿彌陀如來 阿弥陀如来
阿彼雅 阿彼雅
阿得拉 阿得拉
阿得拉爾 阿得拉尔
阿得萊德 阿得莱德
阿德萊德 阿德莱德
阿德雷德 阿德雷德
阿房宮 阿房宫
阿扁 阿扁
阿托品 阿托品
阿拉 阿拉
阿拉 阿拉
阿拉丁 阿拉丁
阿拉伯 阿拉伯
阿拉伯人 阿拉伯人
阿拉伯共同市場 阿拉伯共同市场
阿拉伯半島 阿拉伯半岛
阿拉伯國家聯盟 阿拉伯国家联盟
阿拉伯數字 阿拉伯数字
阿拉伯文 阿拉伯文
阿拉伯海 阿拉伯海
阿拉伯糖 阿拉伯糖
阿拉伯聯合大公國 阿拉伯联合大公国
阿拉伯聯合酋長國 阿拉伯联合酋长国
阿拉伯膠 阿拉伯胶
阿拉伯茴香 阿拉伯茴香
阿拉伯語 阿拉伯语
阿拉伯電信聯盟 阿拉伯电信联盟
阿拉善 阿拉善
阿拉善右旗 阿拉善右旗
阿拉善左旗 阿拉善左旗
阿拉善盟 阿拉善盟
阿拉塔斯 阿拉塔斯
阿拉巴馬 阿拉巴马
阿拉巴馬州 阿拉巴马州
阿拉干山脈 阿拉干山脉
阿拉弗拉海 阿拉弗拉海
阿拉摩 阿拉摩
阿拉斯 阿拉斯
阿拉斯加 阿拉斯加
阿拉斯加大學 阿拉斯加大学
阿拉斯加州 阿拉斯加州
阿拉斯加雪橇犬 阿拉斯加雪橇犬
阿拉木圖 阿拉木图
阿拉法特 阿拉法特
阿拉爾 阿拉尔
阿拉爾市 阿拉尔市
阿拉瓦 阿拉瓦
阿拉米語 阿拉米语
阿拔斯王朝 阿拔斯王朝
阿拖品化 阿拖品化
阿提拉 阿提拉
阿摩司書 阿摩司书
阿摩尼亞 阿摩尼亚
阿摩尼亞水 阿摩尼亚水
阿斗 阿斗
阿斯伯格 阿斯伯格
阿斯佩爾格爾 阿斯佩尔格尔
阿斯利康 阿斯利康
阿斯匹林 阿斯匹林
阿斯匹靈 阿斯匹灵
阿斯圖里亞斯 阿斯图里亚斯
阿斯塔納 阿斯塔纳
阿斯巴特 阿斯巴特
阿斯巴甜 阿斯巴甜
阿斯旺 阿斯旺
阿斯旺高壩 阿斯旺高坝
阿斯蘭 阿斯兰
阿斯頓·馬丁 阿斯顿·马丁
阿斯馬拉 阿斯马拉
阿旺曲培 阿旺曲培
阿旺曲沛 阿旺曲沛
阿昌 阿昌
阿明 阿明
阿昔洛韋 阿昔洛韦
阿是穴 阿是穴
阿普吐龍 阿普吐龙
阿普爾頓 阿普尔顿
阿曼 阿曼
阿曼灣 阿曼湾
阿月渾子 阿月浑子
阿月渾子實 阿月浑子实
阿月渾子樹 阿月浑子树
阿木林 阿木林
阿松森島 阿松森岛
阿根廷 阿根廷
阿格尼迪 阿格尼迪
阿梵達 阿梵达
阿森 阿森
阿森斯 阿森斯
阿森松島 阿森松岛
阿森納 阿森纳
阿榮旗 阿荣旗
阿比 阿比
阿比西尼亞 阿比西尼亚
阿比西尼亞人 阿比西尼亚人
阿比西尼亞官話 阿比西尼亚官话
阿比讓 阿比让
阿沙力 阿沙力
阿法爾 阿法尔
阿法爾沙漠 阿法尔沙漠
阿法羅密歐 阿法罗密欧
阿波羅 阿波罗
阿波羅計劃 阿波罗计划
阿洛菲 阿洛菲
阿混 阿混
阿爸 阿爸
阿爸 阿爸
阿爸父 阿爸父
阿爹 阿爹
阿爾伯塔 阿尔伯塔
阿爾伯特 阿尔伯特
阿爾加維 阿尔加维
阿爾卑斯 阿尔卑斯
阿爾卡特 阿尔卡特
阿爾及利亞 阿尔及利亚
阿爾及利亞人 阿尔及利亚人
阿爾及爾 阿尔及尔
阿爾坎塔拉 阿尔坎塔拉
阿爾山 阿尔山
阿爾山市 阿尔山市
阿爾巴尼亞 阿尔巴尼亚
阿爾巴尼亞人 阿尔巴尼亚人
阿爾斯通公司 阿尔斯通公司
阿爾梅里亞 阿尔梅里亚
阿爾法 阿尔法
阿爾法·羅密歐 阿尔法·罗密欧
阿爾法粒子 阿尔法粒子
阿爾泰 阿尔泰
阿爾泰山 阿尔泰山
阿爾泰山脈 阿尔泰山脉
阿爾泰紫菀 阿尔泰紫菀
阿爾泰語 阿尔泰语
阿爾泰雪雞 阿尔泰雪鸡
阿爾漢格爾斯克州 阿尔汉格尔斯克州
阿爾瓦塞特 阿尔瓦塞特
阿爾茨海默 阿尔茨海默
阿爾茨海默氏病 阿尔茨海默氏病
阿爾茨海默氏症 阿尔茨海默氏症
阿爾茨海默病 阿尔茨海默病
阿爾茨海默症 阿尔茨海默症
阿爾蓋達 阿尔盖达
阿爾薩斯 阿尔萨斯
阿爾袞琴 阿尔衮琴
阿爾都塞 阿尔都塞
阿片 阿片
阿物兒 阿物儿
阿特拉斯 阿特拉斯
阿特蘭蒂斯 阿特兰蒂斯
阿特金斯 阿特金斯
阿狄森氏病 阿狄森氏病
阿瑞斯 阿瑞斯
阿瑟 阿瑟
阿瑟縣 阿瑟县
阿瑟鎮 阿瑟镇
阿瑪尼 阿玛尼
阿瓦提 阿瓦提
阿瓦提縣 阿瓦提县
阿瓦里德 阿瓦里德
阿瓦魯阿 阿瓦鲁阿
阿甘正傳 阿甘正传
阿留申群島 阿留申群岛
阿的平 阿的平
阿皮亞 阿皮亚
阿盟 阿盟
阿盧巴 阿卢巴
阿穆爾州 阿穆尔州
阿穆爾河 阿穆尔河
阿空加瓜 阿空加瓜
阿空加瓜山 阿空加瓜山
阿米巴 阿米巴
阿米巴原蟲 阿米巴原虫
阿米巴病 阿米巴病
阿米巴痢疾 阿米巴痢疾
阿米納達布 阿米纳达布
阿維拉 阿维拉
阿羅漢 阿罗汉
阿羅約 阿罗约
阿美尼亞 阿美尼亚
阿美恩斯 阿美恩斯
阿美族 阿美族
阿耳忒彌斯 阿耳忒弥斯
阿耳戈斯 阿耳戈斯
阿耳茨海默氏病 阿耳茨海默氏病
阿聯酋 阿联酋
阿聯酋航空 阿联酋航空
阿聯酋長國 阿联酋长国
阿肯色 阿肯色
阿肯色大學 阿肯色大学
阿肯色州 阿肯色州
阿育吠陀 阿育吠陀
阿育王 阿育王
阿育魏實 阿育魏实
阿膠 阿胶
阿芒拿 阿芒拿
阿芙樂爾號 阿芙乐尔号
阿芙羅狄忒 阿芙罗狄忒
阿芙蓉 阿芙蓉
阿芝特克人 阿芝特克人
阿芝特克語 阿芝特克语
阿茨海默症 阿茨海默症
阿茲海默症 阿兹海默症
阿茲特克 阿兹特克
阿莎力 阿莎力
阿莫西林 阿莫西林
阿華田 阿华田
阿萊奇冰川 阿莱奇冰川
阿萊曼 阿莱曼
阿蒙 阿蒙
阿蓋達 阿盖达
阿蓮 阿莲
阿蓮區 阿莲区
阿薩姆 阿萨姆
阿薩德 阿萨德
阿蘇山 阿苏山
阿蘭 阿兰
阿蘭文 阿兰文
阿蘭若 阿兰若
阿衣奴 阿衣奴
阿西吧 阿西吧
阿西莫夫 阿西莫夫
阿訇 阿訇
阿誰 阿谁
阿諛 阿谀
阿諛奉承 阿谀奉承
阿諾 阿诺
阿諾·施瓦辛格 阿诺·施瓦辛格
阿諾德·施瓦辛格 阿诺德·施瓦辛格
阿貓阿狗 阿猫阿狗
阿貝爾 阿贝尔
阿赫蒂薩里 阿赫蒂萨里
阿迪斯阿貝巴 阿迪斯阿贝巴
阿迪達斯 阿迪达斯
阿道司·赫胥黎 阿道司·赫胥黎
阿達比爾 阿达比尔
阿鄉 阿乡
阿里 阿里
阿里地區 阿里地区
阿里山 阿里山
阿里山鄉 阿里山乡
阿里巴巴 阿里巴巴
阿里巴巴 阿里巴巴
阿里斯托芬 阿里斯托芬
阿里郎 阿里郎
阿金庫爾 阿金库尔
阿門 阿门
阿閦佛 阿閦佛
阿闍梨 阿阇梨
阿闍黎 阿阇黎
阿附 阿附
阿難 阿难
阿難陀 阿难陀
阿靈頓國家公墓 阿灵顿国家公墓
阿非利加 阿非利加
阿非利加洲 阿非利加洲
阿飄 阿飘
阿飛 阿飞
阿馬遜 阿马逊
阿魏 阿魏
阿魯巴 阿鲁巴
阿魯巴 阿鲁巴
阿魯科爾沁 阿鲁科尔沁
阿魯科爾沁旗 阿鲁科尔沁旗
阿魯納恰爾邦 阿鲁纳恰尔邦
阿麗亞娜 阿丽亚娜
阿黑門尼德王朝 阿黑门尼德王朝
阿鼻 阿鼻
阿鼻地獄 阿鼻地狱
陀 陀
陀思妥也夫斯基 陀思妥也夫斯基
陀思妥耶夫斯基 陀思妥耶夫斯基
陀羅尼 陀罗尼
陀螺 陀螺
陀螺儀 陀螺仪
陁 陁
陂 陂
陂 陂
陂塘 陂塘
陂陀 陂陀
附 附
附上 附上
附中 附中
附件 附件
附則 附则
附加 附加
附加值 附加值
附加元件 附加元件
附加物 附加物
附加費 附加费
附加賽 附加赛
附和 附和
附子 附子
附寄 附寄
附小 附小
附屬 附属
附屬品 附属品
附屬物 附属物
附屬腺 附属腺
附帶 附带
附帶損害 附带损害
附庸 附庸
附庸風雅 附庸风雅
附會 附会
附欄 附栏
附筆 附笔
附籤 附签
附耳 附耳
附肢 附肢
附著 附着
附著物 附着物
附設 附设
附註 附注
附議 附议
附贅懸疣 附赘悬疣
附身 附身
附近 附近
附送 附送
附錄 附录
附面層 附面层
附體 附体
附點 附点
陋 陋
陋俗 陋俗
陋居 陋居
陋屋 陋屋
陋習 陋习
陋規 陋规
陌 陌
陌生 陌生
陌生人 陌生人
陌路 陌路
陌路人 陌路人
陌陌 陌陌
降 降
降 降
降下 降下
降世 降世
降伏 降伏
降低 降低
降低利率 降低利率
降價 降价
降噪 降噪
降塵 降尘
降壓 降压
降妖 降妖
降將 降将
降幅 降幅
降序 降序
降息 降息
降旗 降旗
降旨 降旨
降服 降服
降格 降格
降水 降水
降水量 降水量
降溫 降温
降溫費 降温费
降火 降火
降生 降生
降祉 降祉
降福 降福
降級 降级
降結腸 降结肠
降職 降职
降腎上腺素 降肾上腺素
降臨 降临
降臨節 降临节
降落 降落
降落傘 降落伞
降落地點 降落地点
降落跑道 降落跑道
降號 降号
降血壓藥 降血压药
降血鈣素 降血钙素
降解 降解
降調 降调
降雨 降雨
降雨量 降雨量
降雪 降雪
降龍伏虎 降龙伏虎
陎 陎
陏 陏
限 限
限價 限价
限制 限制
限制級 限制级
限制酶 限制酶
限制酶圖譜 限制酶图谱
限定 限定
限定詞 限定词
限度 限度
限於 限于
限時 限时
限時信 限时信
限期 限期
限流 限流
限界線 限界线
限購 限购
限速 限速
限額 限额
限高架 限高架
陑 陑
陔 陔
陖 陖
陗 峭
陘 陉
陛 陛
陛下 陛下
陜 陜
陝 陕
陝北 陕北
陝南 陕南
陝甘 陕甘
陝甘寧 陕甘宁
陝縣 陕县
陝西 陕西
陝西大地震 陕西大地震
陝西師範大學 陕西师范大学
陝西省 陕西省
陝西科技大學 陕西科技大学
陝飛集團 陕飞集团
陞 升
陟 陟
陡 陡
陡削 陡削
陡坡 陡坡
陡壁 陡壁
陡峭 陡峭
陡峻 陡峻
陡崖 陡崖
陡度 陡度
陡然 陡然
陡變 陡变
陡跌 陡跌
院 院
院壩 院坝
院士 院士
院子 院子
院本 院本
院校 院校
院牧 院牧
院線 院线
院落 院落
院試 院试
院長 院长
陣 阵
陣亡 阵亡
陣亡戰士紀念日 阵亡战士纪念日
陣亡者 阵亡者
陣列 阵列
陣勢 阵势
陣地 阵地
陣型 阵型
陣子 阵子
陣容 阵容
陣營 阵营
陣痛 阵痛
陣痛期 阵痛期
陣線 阵线
陣雨 阵雨
陣風 阵风
除 除
除不盡 除不尽
除了 除了
除以 除以
除冰 除冰
除去 除去
除另有約定 除另有约定
除名 除名
除垢劑 除垢剂
除塵 除尘
除塵機 除尘机
除夕 除夕
除外 除外
除子 除子
除惡務盡 除恶务尽
除掉 除掉
除數 除数
除暴 除暴
除暴安良 除暴安良
除根 除根
除此之外 除此之外
除沾染 除沾染
除法 除法
除淨 除净
除濕器 除湿器
除濕機 除湿机
除祟 除祟
除罪 除罪
除罪化 除罪化
除臭 除臭
除臭劑 除臭剂
除舊布新 除旧布新
除舊更新 除旧更新
除草 除草
除草劑 除草剂
除號 除号
除過 除过
除邪 除邪
除開 除开
除霜 除霜
除靈 除灵
除非 除非
除顫 除颤
陥 陥
陪 陪
陪伴 陪伴
陪侍 陪侍
陪同 陪同
陪唱女 陪唱女
陪唱小姐 陪唱小姐
陪奩 陪奁
陪嫁 陪嫁
陪審員 陪审员
陪審團 陪审团
陪床 陪床
陪產 陪产
陪產假 陪产假
陪睡 陪睡
陪練 陪练
陪罪 陪罪
陪聊 陪聊
陪葬 陪葬
陪葬品 陪葬品
陪襯 陪衬
陪護 陪护
陪讀 陪读
陪送 陪送
陪都 陪都
陪酒 陪酒
陬 陬
陰 阴
陰 阴
陰乾 阴干
陰冷 阴冷
陰功 阴功
陰司 阴司
陰唇 阴唇
陰囊 阴囊
陰天 阴天
陰宅 阴宅
陰屁 阴屁
陰山 阴山
陰差陽錯 阴差阳错
陰平 阴平
陰平聲 阴平声
陰影 阴影
陰徑 阴径
陰德 阴德
陰德必有陽報 阴德必有阳报
陰性 阴性
陰戶 阴户
陰招 阴招
陰晦 阴晦
陰暗 阴暗
陰暗面 阴暗面
陰曆 阴历
陰曹 阴曹
陰曹地府 阴曹地府
陰柔 阴柔
陰核 阴核
陰桫 阴桫
陰森 阴森
陰極 阴极
陰極射線管 阴极射线管
陰毒 阴毒
陰毛 阴毛
陰沉 阴沉
陰沉沉 阴沉沉
陰涼 阴凉
陰涼處 阴凉处
陰溝裡翻船 阴沟里翻船
陰濕 阴湿
陰私 阴私
陰穴 阴穴
陰笑 阴笑
陰精 阴精
陰莖 阴茎
陰莖套 阴茎套
陰蒂 阴蒂
陰虛 阴虚
陰虛火旺 阴虚火旺
陰謀 阴谋
陰謀家 阴谋家
陰謀詭計 阴谋诡计
陰謀論 阴谋论
陰謀顛覆政府罪 阴谋颠覆政府罪
陰道 阴道
陰道口 阴道口
陰道棕櫚狀壁 阴道棕榈状壁
陰道炎 阴道炎
陰部 阴部
陰錯陽差 阴错阳差
陰門 阴门
陰間 阴间
陰阜 阴阜
陰陽 阴阳
陰陽合同 阴阳合同
陰陽家 阴阳家
陰陽怪氣 阴阳怪气
陰險 阴险
陰險毒辣 阴险毒辣
陰離子 阴离子
陰離子部位 阴离子部位
陰雨 阴雨
陰雲 阴云
陰電 阴电
陰霾 阴霾
陰面 阴面
陰風 阴风
陰騭 阴骘
陰鬱 阴郁
陰魂 阴魂
陰魂不散 阴魂不散
陰鷙 阴鸷
陲 陲
陳 陈
陳 陈
陳仁錫 陈仁锡
陳仲琳 陈仲琳
陳伯達 陈伯达
陳倉 陈仓
陳倉區 陈仓区
陳元光 陈元光
陳兵 陈兵
陳其邁 陈其迈
陳再道 陈再道
陳冠希 陈冠希
陳凱歌 陈凯歌
陳列 陈列
陳列室 陈列室
陳列臺 陈列台
陳勝 陈胜
陳勝吳廣起義 陈胜吴广起义
陳化 陈化
陳厚 陈厚
陳可雄 陈可雄
陳壽 陈寿
陳天華 陈天华
陳奏 陈奏
陳奕迅 陈奕迅
陳套 陈套
陳嬌 陈娇
陳子昂 陈子昂
陳屍 陈尸
陳巴爾虎旗 陈巴尔虎旗
陳希同 陈希同
陳年 陈年
陳建仁 陈建仁
陳德良 陈德良
陳忱 陈忱
陳恭尹 陈恭尹
陳情 陈情
陳慶炎 陈庆炎
陳摶 陈抟
陳放 陈放
陳方安生 陈方安生
陳景潤 陈景润
陳書 陈书
陳木勝 陈木胜
陳橋兵變 陈桥兵变
陳毅 陈毅
陳水扁 陈水扁
陳沖 陈冲
陳炯明 陈炯明
陳獨秀 陈独秀
陳皮 陈皮
陳省身 陈省身
陳米 陈米
陳納德 陈纳德
陳紹 陈绍
陳美 陈美
陳腐 陈腐
陳舊 陈旧
陳規 陈规
